Date,reported_scores,cubic_bspline_fit,residuals
2022-08-10,37654,36110.49283347007,1543.5071665299329
2022-08-11,37301,35948.214243787836,1352.7857562121644
2022-08-12,34198,35789.2553340241,-1591.2553340240993
2022-08-13,35276,35633.547677419236,-357.5476774192357
2022-08-14,31652,35481.02284721365,-3829.0228472136514
2022-08-15,35376,35331.61241664775,44.38758335224702
2022-08-16,35105,35185.247958961874,-80.24795896187425
2022-08-17,35815,35041.86104739654,773.1389526034618
2022-08-18,34938,34901.38325519202,36.61674480797956
2022-08-19,33965,34763.74615558876,-798.7461555887567
2022-08-20,38245,34628.88132182715,3616.1186781728466
2022-08-21,35617,34496.72032714756,1120.2796728524409
2022-08-22,35888,34367.19474479047,1520.8052552095323
2022-08-23,33549,34240.23614799614,-691.2361479961401
2022-08-24,33700,34115.776110005056,-415.77611000505567
2022-08-25,36737,33993.74620405759,2743.253795942408
2022-08-26,34716,33874.078003394156,841.9219966058445
2022-08-27,31241,33756.703081255124,-2515.703081255124
2022-08-28,30214,33641.55301088089,-3427.553010880889
2022-08-29,34281,33528.55936551187,752.4406344881281
2022-08-30,33660,33417.65371838845,242.34628161154978
2022-08-31,35343,33308.76764275099,2034.2323572490131
2022-09-01,31903,33201.83271183995,-1298.8327118399466
2022-09-02,35724,33096.78049889568,2627.2195011043223
2022-09-03,31191,32993.54257715856,-1802.5425771585578
2022-09-04,32018,32892.05051986899,-874.0505198689934
2022-09-05,32733,32792.23590026742,-59.23590026742022
2022-09-06,32734,32694.03029159423,39.96970840576978
2022-09-07,30992,32597.365267089743,-1605.3652670897427
2022-09-08,31962,32502.172399994422,-540.1723999944224
2022-09-09,32172,32408.38326354866,-236.3832635486615
2022-09-10,29237,32315.92943099281,-3078.929430992808
2022-09-11,27887,32224.7424755673,-4337.742475567298
2022-09-12,29147,32134.75397051251,-2987.753970512509
2022-09-13,29497,32045.895489068847,-2548.8954890688474
2022-09-14,32142,31958.098604476705,183.90139552329492
2022-09-15,33344,31871.294889976445,1472.7051100235549
2022-09-16,37309,31785.415918808518,5523.584081191482
2022-09-17,33418,31700.3932642133,1717.6067357866996
2022-09-18,33102,31616.15849943114,1485.8415005688585
2022-09-19,35050,31532.643197702506,3517.356802297494
2022-09-20,31277,31449.77897867412,-172.77897867411957
2022-09-21,31976,31367.501505152206,608.4984948477941
2022-09-22,34455,31285.753563328093,3169.246436671907
2022-09-23,31509,31204.47866449361,304.52133550638973
2022-09-24,32777,31123.6203199405,1653.379680059501
2022-09-25,28994,31043.122040960545,-2049.122040960545
2022-09-26,31706,30962.927338845475,743.0726611545251
2022-09-27,30985,30882.97972488709,102.0202751129109
2022-09-28,31355,30803.222710377115,551.7772896228853
2022-09-29,30477,30723.59980660728,-246.59980660727888
2022-09-30,31223,30644.054524869396,578.9454751306039
2022-10-01,28202,30564.530376455237,-2362.5303764552373
2022-10-02,30088,30484.97087265653,-396.97087265652954
2022-10-03,32288,30405.31952476503,1882.6804752349708
2022-10-04,32014,30325.519844072536,1688.4801559274638
2022-10-05,30935,30245.51534187075,689.4846581292513
2022-10-06,32522,30165.24952945148,2356.750470548519
2022-10-07,29026,30084.665918106446,-1058.665918106446
2022-10-08,26905,30003.708019127444,-3098.7080191274435
2022-10-09,28408,29922.319343806274,-1514.3193438062735
2022-10-10,26878,29840.443403434634,-2962.443403434634
2022-10-11,28575,29758.02370930421,-1183.0237093042088
2022-10-12,29151,29675.003772706914,-524.0037727069139
2022-10-13,27197,29591.327104934448,-2394.3271049344476
2022-10-14,28906,29506.937217278508,-600.9372172785079
2022-10-15,30403,29421.777621030953,981.222378969047
2022-10-16,30459,29335.79182748351,1123.2081725164899
2022-10-17,31269,29248.923347927892,2020.0766520721081
2022-10-18,28612,29161.115693655956,-549.1156936559564
2022-10-19,28322,29072.312375959344,-750.3123759593436
2022-10-20,28741,28982.456906129897,-241.4569061298971
2022-10-21,28637,28891.49279545933,-254.4927954593295
2022-10-22,29084,28799.36355523947,284.63644476053014
2022-10-23,29279,28706.012696762,572.9873032379983
2022-10-24,28947,28611.383731318754,335.61626868124586
2022-10-25,28953,28515.420170201425,437.5798297985748
2022-10-26,30063,28418.0655247018,1644.9344752981997
2022-10-27,27609,28319.263306111636,-710.2633061116358
2022-10-28,27905,28218.957025722702,-313.9570257227024
2022-10-29,25156,28117.09019482677,-2961.090194826771
2022-10-30,24672,28013.60632471557,-3341.606324715569
2022-10-31,26498,27908.448926680852,-1410.4489266808523
2022-11-01,27502,27801.561512014436,-299.5615120144357
2022-11-02,27670,27692.88759200803,-22.88759200803179
2022-11-03,29554,27582.370677953397,1971.6293220466032
2022-11-04,27330,27469.95428114233,-139.95428114233073
2022-11-05,29743,27355.58191286656,2387.4180871334393
2022-11-06,31068,27239.197084417872,3828.8029155821278
2022-11-07,26096,27120.743307088007,-1024.743307088007
2022-11-08,27213,27000.16409216872,212.83590783127875
2022-11-09,28984,26877.402950951786,2106.597049048214
2022-11-10,27467,26752.403487777614,714.5965122223861
2022-11-11,25993,26625.156575700996,-632.1565757009957
2022-11-12,24660,26495.77712162769,-1835.7771216276888
2022-11-13,25085,26364.40013097193,-1279.4001309719315
2022-11-14,26536,26231.16060914799,304.83939085200836
2022-11-15,27475,26096.193561570035,1378.806438429965
2022-11-16,25576,25959.633993652373,-383.63399365237274
2022-11-17,27465,25821.61691080923,1643.383089190771
2022-11-18,29208,25682.2773184548,3525.7226815452013
2022-11-19,24749,25541.75022200338,-792.7502220033784
2022-11-20,24991,25400.17062686912,-409.1706268691196
2022-11-21,24288,25257.673538466348,-969.673538466348
2022-11-22,27437,25114.39396220926,2322.6060377907415
2022-11-23,26663,24970.466903512104,1692.5330964878958
2022-11-24,27705,24826.02736778911,2878.972632210891
2022-11-25,24197,24681.210360454497,-484.2103604544973
2022-11-26,26381,24536.150886922536,1844.8491130774637
2022-11-27,25206,24390.98395260742,815.0160473925789
2022-11-28,26051,24245.844562923463,1805.155437076537
2022-11-29,23739,24100.867723284828,-361.86772328482766
2022-11-30,2569,23956.18843910577,-21387.18843910577
2022-12-01,22628,23811.941715800553,-1183.9417158005526
2022-12-02,24646,23668.262558783375,977.7374412166246
2022-12-03,23873,23525.28597346852,347.71402653148107
2022-12-04,25577,23383.146965270178,2193.853034729822
2022-12-05,23153,23241.98053960265,-88.98053960264951
2022-12-06,23509,23101.92170188007,407.07829811992997
2022-12-07,24899,22963.10545751678,1935.89454248322
2022-12-08,21199,22825.666811926974,-1626.6668119269743
2022-12-09,23640,22689.740770524848,950.2592294751521
2022-12-10,21157,22555.46233872474,-1398.4623387247411
2022-12-11,21947,22422.96652194076,-475.9665219407616
2022-12-12,22873,22292.38832558728,580.6116744127212
2022-12-13,24101,22163.86275507843,1937.1372449215705
2022-12-14,20824,22037.524815828496,-1213.5248158284958
2022-12-15,22176,21913.5095132517,262.4904867482983
2022-12-16,22853,21791.951852762315,1061.048147237685
2022-12-17,22336,21672.986839774516,663.0131602254842
2022-12-18,22166,21556.749479702572,609.250520297428
2022-12-19,26010,21443.374777960722,4566.625222039278
2022-12-20,24137,21332.99773996322,2804.002260036781
2022-12-21,22180,21225.753371124287,954.2466288757132
2022-12-22,20490,21121.77667685815,-631.7766768581496
2022-12-23,21937,21021.202662579046,915.7973374209541
2022-12-24,20281,20924.166333701214,-643.1663337012142
2022-12-25,15554,20830.802695638922,-5276.802695638922
2022-12-26,20011,20741.246753806365,-730.2467538063647
2022-12-27,20879,20655.63351361781,223.3664863821905
2022-12-28,20160,20574.097980487495,-414.0979804874951
2022-12-29,20001,20496.77515982963,-495.77515982963087
2022-12-30,21204,20423.8000570585,780.1999429415009
2022-12-31,20380,20355.307677588236,24.692322411763598
